,word,count
related-1,water,2796.0
request-0,help,1598.0
offer-0,food,48.0
aid_related-0,food,2340.0
medical_help-0,water,502.0
medical_products-0,water,553.0
search_and_rescue-0,people,206.0
security-0,people,98.0
military-0,people,147.0
water-0,water,1790.0
food-0,food,2239.0
shelter-0,tent,731.0
clothing-0,food,224.0
money-0,relief,153.0
missing_people-0,people,129.0
refugees-0,people,349.0
death-0,people,614.0
other_aid-0,help,993.0
infrastructure_related-0,water,400.0
transport-0,road,334.0
buildings-0,house,457.0
electricity-0,power,238.0
tools-0,people,48.0
hospitals-0,hospital,114.0
shops-0,people,47.0
aid_centers-0,water,114.0
other_infrastructure-0,water,265.0
weather_related-0,earthquake,1760.0
floods-0,flood,913.0
storm-0,rain,761.0
fire-0,fire,145.0
earthquake-0,earthquake,1723.0
cold-0,snow,138.0
other_weather-0,people,287.0
direct_report-0,help,1440.0
related-2,de,48.0
